"id";"end_date";"start_date";"constellation_detail_id";"img"
1;"2000-04-19";"2000-03-21";1;"aries.png"
2;"2000-05-20";"2000-04-20";2;"taurus.png"
3;"2000-06-21";"2000-05-21";3;"gemini.png"
4;"2000-07-22";"2000-06-22";4;"cancer.png"
5;"2000-08-22";"2000-07-23";5;"leo.png"
6;"2000-09-23";"2000-08-23";6;"virgo.png"
7;"2000-10-22";"2000-09-24";7;"libra.png"
8;"2000-11-22";"2000-10-23";8;"scorpio.png"
9;"2000-12-24";"2000-11-23";9;"sagittarius.png"
10;"2000-01-19";"2000-12-25";10;"capricorn.png"
11;"2000-02-18";"2000-01-20";11;"aquarius.png"
12;"2000-03-20";"2000-02-19";12;"pisces.png"
