id,observatory_name,is_observable,has_exhibition,has_lodgement,has_planetarium,home_page,phone_number,address,rate,longitude,latitude,image_url
1,서울영어과학교육센터,1,0,0,1,https://www.nowoncosmos.or.kr/,02-971-6232,서울특별시 노원구 중계동 507-1,0,127.065451,37.640812,https://astro.kasi.re.kr/file/astro_page/496776780718821.jpg
2,창동청소년문화의집(옥상천문대),1,0,0,0,null,02-908-0924,서울특별시 도봉구 창동 462-2,0,127.04288,37.638006,https://astro.kasi.re.kr/file/astro_page/497639762060514.jpg
3,테코천문대(테코시스템 부설),0,0,0,0,http://www.teko.co.kr/,02-353-0791,서울특별시 은평구 불광동 189-42,0,126.932936,37.62166,https://astro.kasi.re.kr/file/astro_page/496775006042585.jpg
4,국립서울과학관,0,1,0,0,http://www.ssm.go.kr,02-3668-2200,서울특별시 종로구 와룡동 2-70,0,126.996954,37.582271,https://astro.kasi.re.kr/file/astro_page/496775830937148.jpg
5,한국우주전파관측망 연세대학교천문대,0,1,0,0,http://obs.yonsei.ac.kr/,02-2123-3439,서울특별시 서대문구 신촌동 134,0,126.939496,37.564699,https://astro.kasi.re.kr/file/astro_page/497642404000523.jpg
6,광진청소년수련관,1,0,1,1,http://www.seekle.or.kr/star_01.html,02-2204-3100,서울특별시 광진구 광장동 313-3,0,127.106512,37.546189,https://astro.kasi.re.kr/file/astro_page/496779740278266.jpg
7,화천청소년수련관 (광덕산그린천문대),0,0,0,0,null,033-442-1211,강원도 화천군 화천읍 아리 239,0,127.708084,38.106029,https://astro.kasi.re.kr/file/astro_page/497648983662386.jpg
8,양구국토정중앙천문대,0,1,0,1,http://www.ckobs.kr,033-480-2586,강원도 양구군 남면 도촌리 96-5,0,128.029898,38.068878,https://astro.kasi.re.kr/file/astro_page/497636473284963.jpg
9,횡성우리별천문대,1,0,1,1,http://www.ourstar.net/,033-345-8471,강원도 횡성군 공근면 상창봉리 264-4,0,127.896605,37.577982,https://astro.kasi.re.kr/file/astro_page/497636839318669.jpg
10,평창청소년수련원(은하수천문대),1,0,1,0,null,033-330-0800,강원도 평창군 용평면 백옥포리 251-9,0,128.398509,37.582747,
11,횡성천문인마을,1,0,1,0,http://www.astrovil.co.kr,033-342-9023,강원도 횡성군 강림면 월현리 352-2,0,128.175019,37.372461,https://astro.kasi.re.kr/file/astro_page/497637547380221.jpg
12,영월별마로천문대,1,1,1,1,http://www.yao.or.kr/,033-374-7460,강원도 영월군 영월읍 영흥리 154-7,0,128.485816,37.199232,
13,가평자연과별천문대,1,0,1,0,http://www.naturestar.co.kr/,031-581-4001,경기도 가평군 북면 백둔리 122-3,0,127.474082,37.912862,https://astro.kasi.re.kr/file/astro_page/496774498572058.jpg
